Timestamp,Memory utilization (%)
1460945122,
1460945182,
1460945242,
1460945288,63.72216618646074
1460945648,67.14361155101489
1460945888,62.8517865843698
1460946248,66.29444331618515
1460946488,65.41608964501376
1460946848,63.000870058928335
1460947088,65.57231940172818
1460947448,63.4673083008636
1460947718,65.14318479099529
1460948078,67.13035658345176
1460948318,67.41741441429107
1460948678,67.92901785213039
1460948918,68.44999951884368
1460949278,68.77710960110988
1460949518,64.53308222994048
1460949878,68.56653972366331
1460950118,69.48583550904645
1460950478,70.14747004909289
1460950718,66.64625914613723
1460951078,64.87305586975617
1460951318,64.94346293469884
1460951678,65.88847636994092
1460951918,75.97195025455062
1460952278,73.99242558198105
1460952518,74.15427434506925
1460952878,73.50077475123602
1460953118,65.65211871431804
1460953478,66.78083402473166
1460953718,67.25226633850248
1460954078,64.88452701827318
1460954318,64.08769291557765
1460954678,67.00063973183103
1460954918,63.81665028427441
1460955278,67.17022653644777
1460955518,60.15598346340671
1460955878,67.91212969819664
1460956118,67.29536993898078
1460956478,65.11719168067854
1460956718,59.57029797764296
1460957078,67.46998008764814
1460957318,67.83019057791823
1460957678,66.84752953143307
1460957918,57.9320379214828
1460958278,65.58572098485872
1460958518,65.1884108598362
1460958878,65.42664693650438
1460959118,67.48849741308413
1460959178,
1460959238,
1460959298,
1460959358,
1460959418,
1460959478,
