Timestamp,Open Connections
1461830400,
1461830460,
1461830520,
1461830580,
1461830593,6.4
1461830774,5.666666666666667
1461831134,7
1461831494,8.666666666666666
1461831793,9.8
1461832094,6.6
1461832334,6
1461832694,4.833333333333333
1461832993,6.2
1461833233,4.5
1461833593,7.333333333333333
1461833894,6.2
1461834133,6.5
1461834433,8.4
1461834796,6
1461834973,4.666666666666667
1461835333,7.5
1461835633,9.6
1461835993,9.333333333333334
1461836233,6.75
1461837253,5.4
1461837613,8.333333333333334
1461837853,9.75
1461838093,6
1461838395,10
1461838813,8.714285714285714
1461839053,8.5
1461839113,
1461839173,
1461839233,
1461839293,
1461839353,
