Timestamp,CPU utilization (%),Memory utilization (%)
1461830400,,
1461830460,,
1461830520,,
1461830579,8.492596143602855,80.02304335501053
1461830891,14.323147020044393,74.46056606793186
1461831191,5.426460039701736,70.84411067384542
1461831516,10.36603221083455,76.44259423576032
1461831817,8.68418416747354,73.47203943907094
1461832117,10.885784387361673,75.70404725536518
1461832418,11.869782971619367,71.75412442805663
1461832724,13.82275240798779,69.98522117170714
1461833033,8.530961222903533,72.74290487800074
1461833341,11.564175440862998,73.13277785077788
1461833642,9.347354364880655,75.49631478170674
1461833885,14.981510613520745,74.39345544600114
1461834186,15.963749853964648,70.97171764827948
1461834486,8.805262454921866,73.62952197631262
1461834787,11.057884897850183,73.50955396451964
1461835088,9.51903974891905,72.15900494619771
1461835389,9.864445260592301,73.45906421443323
1461835697,10.015672208488843,70.04771707885227
1461836000,12.382563563497799,72.4782684005663
1461836308,10.920728705071394,71.30479007225642
1461837329,12.800769971126083,70.64335693151664
1461837630,11.749386487704712,71.01889813286297
1461837930,12.215804760791904,70.79288761597316
1461838230,10.799846408120334,70.05353636252258
1461838531,11.7583206693275,70.76813215658233
1461838832,10.806524315931817,70.91458326501906
1461839133,10.517153602338606,71.66688544616089
1461839193,,
1461839253,,
1461839313,,
1461839373,,
