Timestamp,RPC Queue Wait time (ms),RPC Processing time (ms)
1461830400,,
1461830460,,
1461830520,,
1461830580,,
1461830593,0.08657402870480183,27.086808388878172
1461830774,5.080277777777778,89.75165123456793
1461831134,5.65020764097229,54.548008450812866
1461831494,8.275185279280104,55.04556570169094
1461831793,0.7631332754573549,27.02552715422804
1461832094,1.835879832333563,38.13715812324749
1461832334,1.0620118368299356,32.04702170085487
1461832694,1.3563734653670956,33.394279311386
1461832993,0.9890856994828082,30.711085057455783
1461833233,6.157011910836706,97.1408102147522
1461833593,1.831323022355977,49.360063305480516
1461833894,12.931096114176952,93.5349835886578
1461834133,17.579065741395556,111.41680000589345
1461834433,3.0913647093039947,36.569724960226075
1461834796,0.9488880581853857,40.57856325426265
1461834973,0.4415574325743095,32.854760287541744
1461835333,0.826898610204147,30.170764388988506
1461835633,1.6154849317906375,29.720336882903336
1461835993,1.0066344597718668,30.583654293781517
1461836233,0.44391958701828016,48.64803258981901
1461837253,1.7376221127118967,52.62962297383022
1461837613,1.1965039145183674,32.15781815883722
1461837853,2.064845273773845,36.29669140383425
1461838093,0.3656807473947433,30.378173583609687
1461838395,0.27637520148066286,35.66115942828162
1461838813,0.3475440082420787,33.476754088426176
1461839053,0.677145420726548,24.237916723897314
1461839113,,
1461839173,,
1461839233,,
1461839293,,
1461839353,,
