Timestamp,Memory Utilization
1461830400,
1461830460,
1461830520,
1461830580,
1461830599,30
1461830899,30
1461831079,25
1461831439,25
1461831739,45
1461832039,25
1461832339,40
1461832639,15
1461832939,30
1461833242,20
1461833539,35
1461833842,35
1461834139,20
1461834379,37.5
1461834799,42.85714285714286
1461835099,40
1461835400,20
1461835699,50
1461836003,30
1461836299,35
1461837319,37.5
1461837619,50
1461837799,25
1461838159,45.83333333333333
1461838519,45.83333333333333
1461838819,40
1461839059,43.75
1461839359,15
