Timestamp,CPU Nice (%),CPU System (%),CPU User (%),CPU I/O Idle (%),CPU Idle (%)
1461830400,0,0,0,0,0
1461830460,0,0,0,0,0
1461830520,0,0,0,0,0
1461830579,0,1.2148936170212765,7.26595744680851,13.746808510638296,77.63404255319149
1461830891,0,1.0683333333333331,13.234999999999998,28.62666666666667,56.931666666666665
1461831191,0,0.7266666666666666,4.694999999999999,26.31833333333333,68.17166666666667
1461831516,0,1.3046153846153845,9.043076923076923,18.975384615384616,70.50000000000001
1461831817,0,1.1783333333333335,7.491666666666666,16.035,75.13166666666667
1461832117,0,1.25,9.62,16.893333333333334,72.09166666666667
1461832418,0,1.1749999999999998,10.675,14.715,73.26833333333335
1461832724,0,0.8180327868852457,12.991803278688526,23.616393442622954,62.48032786885247
1461833033,0,1.0379310344827586,7.477586206896553,23.191379310344825,68.11206896551724
1461833341,0,0.7516129032258064,10.798387096774196,34.3016129032258,54.025806451612894
1461833642,0,1.1033333333333337,8.23,23.191666666666666,67.325
1461833885,0,1.1040816326530611,13.861224489795918,29.816326530612244,55.11020408163265
1461834186,0,1.145,14.796666666666665,25.733333333333334,58.186666666666675
1461834486,0,1.1616666666666668,7.628333333333334,16.009999999999998,75.02666666666666
1461834787,0,1.3816666666666668,9.66,15.909999999999998,72.90166666666666
1461835088,0,1.16,8.343333333333334,14.468333333333334,75.86333333333333
1461835389,0,1.283333333333333,8.565,13.219999999999999,76.76833333333333
1461835697,0,1.3064516129032258,8.691935483870967,14.009677419354839,75.81935483870969
1461836000,0,1.221311475409836,11.137704918032787,12.30655737704918,75.14426229508197
1461836308,0,1.0180327868852461,9.89016393442623,29.955737704918036,59.02131147540984
1461837329,0,1.4235294117647057,11.354901960784314,19.682352941176475,67.36470588235294
1461837630,0,1.41,10.32,15.04,73.065
1461837930,0,1.34,10.856666666666666,14.511666666666667,73.135
1461838230,0,1.43,9.351666666666667,13.089999999999998,75.96
1461838531,0,1.603333333333333,10.131666666666666,13.113333333333333,74.95333333333333
1461838832,0,1.3283333333333334,9.46,13.839999999999998,75.20333333333335
1461839133,0,1.3360655737704916,9.162295081967214,13.257377049180329,76.06557377049181
1461839193,0,0,0,0,0
1461839253,0,0,0,0,0
1461839313,0,0,0,0,0
1461839373,0,0,0,0,0
