Timestamp,Bytes In (B),Bytes Out (B),Packets In (B),Packets Out (B)
1461830400,0,0,0,0
1461830460,0,0,0,0
1461830520,0,0,0,0
1461830579,3524803.755227187,2861974.578793738,2475.127313906271,2004.327017122361
1461830891,2347249.2458299715,1358173.0790820497,1647.0595232709782,1005.21987329642
1461831191,1892993.5100951141,681962.9071599855,1314.4891150625867,530.4497947041698
1461831516,3509529.4591023764,4608733.457715226,2670.1858880054983,3197.2017646185095
1461831817,4734084.235446015,3383055.105387613,3353.0915262046647,2414.022526664152
1461832117,2849184.2329448,1359768.1014455021,1983.3207241857688,1018.1972418734229
1461832418,4728234.964464432,2712733.8582162107,3302.5892732958655,1999.3689004882986
1461832724,935602.5386634617,1331824.9457109454,693.4394848074517,926.5064670265451
1461833033,4891556.394805579,3339314.8816161384,3387.963565272575,2385.38013704246
1461833341,1829570.2711565546,659165.8044244238,1264.2845220248805,498.12305233632657
1461833642,4733823.215556433,2712159.2979563507,3348.100897210874,1991.1912793088227
1461833885,2328153.3244760977,835414.083972569,1595.8888319345463,650.5024403677442
1461834186,2840584.4295396702,1359021.132766886,2004.505280423448,1023.4645551851168
1461834486,5674089.272714745,2714346.6551884855,3935.5582921816435,2020.7643401290713
1461834787,2844841.87483927,2707238.4825052638,2068.2227738114652,1916.1926048404043
1461835088,4724556.005947971,1364106.3575278004,3219.089003712098,1096.0633110739457
1461835389,3790438.8550717556,3383039.346306415,2721.5433084854058,2386.940127422249
1461835697,5491479.961877995,3278746.8141620695,3814.5206089467224,2390.9117638029943
1461836000,5589065.991768864,2007019.4882728914,3855.794429914106,1546.505213943662
1461836308,937474.7818918343,1332147.0598286344,720.654995887808,928.5247648700362
1461837329,4451386.877528003,2394686.2846753844,3099.4345984105953,1765.983152063503
1461837630,4736418.505945865,2712057.601360975,3304.805111947521,1984.5440677950369
1461837930,5675295.437558428,3387991.25470188,3959.129738206631,2463.6494516049484
1461838230,5673086.0024032565,2713996.2869392415,3924.390165580536,2015.8712104303636
1461838531,5678595.373744381,4062821.7858983013,3994.9212147835283,2916.9481243556447
1461838832,5674501.558679513,2714858.4085784634,3938.8092283549618,2024.8775894677674
1461839133,5581360.376871078,2671554.145074181,3876.0869342316178,2000.650045397191
1461839193,0,0,0,0
1461839253,0,0,0,0
1461839313,0,0,0,0
1461839373,0,0,0,0
