Records count,Shell Execution time
1048576,118329
2097152,247748
3145728,113081
4194304,230123
5242880,194393
6291456,118864
7340032,127814
8388608,123219
9437184,93866
10485760,108301
11534336,142619
12582912,125118
13631488,103357
14680064,125801
15728640,229301
16777216,134556
17825792,210853
18874368,170526
19922944,254352
20971520,149222
22020096,154737
23068672,214254
24117248,228700
25165824,124045
26214400,115441
27262976,107965
28311552,106733
29360128,128323
30408704,129261
31457280,112651
32505856,116983
33554432,116040
34603008,109330
35651584,113405
36700160,129480
37748736,119150
38797312,106554
39845888,114272
40894464,98070
41943040,111081
42991616,294312
44040192,356772
45088768,232680
46137344,145931
47185920,117910
48234496,105529
49283072,112820
50331648,106696
51380224,122867
52428800,106118
53477376,105364
54525952,113758
55574528,97236
56623104,98433
57671680,96654
58720256,88955
59768832,97277
60817408,92545
61865984,104622
62914560,103576
63963136,83857
65011712,94916
66060288,88032
67108864,104528
